㐷	傌
万	萬
与	與
丑	醜	丑
专	專
业	業
丛	叢
东	東
丝	絲
丢	丟
两	兩
严	嚴
丧	喪
个	個	箇
丰	豐	丰
临	臨
为	為
丽	麗
举	舉
乃	乃	迺
么	麼	么
义	義	羛
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
了	了	瞭
争	爭
于	於	于
亏	虧	亏
云	雲	云
亘	亙	亘
亚	亞
产	產
亩	畝
亲	親
亵	褻
亿	億
仅	僅
仆	僕
仇	仇	讎
从	從
仑	侖	崙
仓	倉
他	他	祂
仪	儀
们	們
价	價
仿	仿	彷
众	眾
优	優
伙	伙	夥
会	會
伞	傘
伟	偉
传	傳
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽
伫	佇
佑	佑	祐
体	體
余	余	餘
佛	佛	彿
你	你	妳	祢
佣	佣	傭
佩	佩	珮
侄	侄	姪
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侬	儂
俦	儔
俨	儼
俩	倆
俪	儷
俭	儉
修	修
借	借	藉
债	債
倾	傾
偬	傯
偿	償
傧	儐
储	儲
傻	傻
僵	僵	殭
儿	兒
克	克	剋
兑	兌
兖	兗
党	黨
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸	嘼
内	內
冈	岡
册	冊
写	寫
军	軍
农	農
冢	冢	塚
冬	冬	鼕
冯	馮
冲	衝	冲	沖
决	決
况	況
冻	凍
净	淨	净
凄	淒	悽
准	準	准
凉	涼
凌	凌	淩
减	減
凑	湊
凛	凜
几	幾
凤	鳳
凭	憑
凯	凱
凳	凳
凶	兇	凶
出	出	齣
击	擊
函	函
凿	鑿
刍	芻
划	劃	畫
刘	劉
则	則
刚	剛
创	創
删	刪
刨	刨	鉋	鑤
别	別	彆
刮	刮	颳
制	制	製
剀	剴
剂	劑
剃	剃	薙
剑	劍
剥	剝
剧	劇
剩	剩	賸
剿	剿	勦
劝	勸
办	辦
务	務
动	動
励	勵
劲	勁
劳	勞
势	勢
勋	勳	勛
勖	勖	勗
勤	勤	懃
匀	勻
匡	匡	劻
匮	匱
区	區
医	醫
匾	匾	楄
千	千	韆
升	升	昇
华	華	崋
协	協
单	單
卖	賣
卜	卜	蔔
占	佔	占
卢	盧
卤	滷	鹵
卧	臥
卫	衛
却	卻
卷	卷	捲
厂	廠
厅	廳
历	歷	曆	厤
厉	厲
压	壓
厌	厭
厕	廁
厘	釐	厘
厢	廂
厦	廈
厨	廚
厩	廄
厮	廝
县	縣
参	參	蔘
双	雙
发	發	髮
变	變
叙	敘	敍
叠	疊
只	隻	只
台	台	臺	檯	颱
叶	葉
号	號
叹	嘆
叽	嘰
吁	吁	籲
吃	吃	喫
合	合	閤
吊	吊	弔
同	同	衕
后	後
向	向	嚮	曏
吓	嚇
吕	呂
吗	嗎
吞	吞
吨	噸	吨	訰
听	聽
启	啟
吴	吳
呆	呆
呓	囈
呕	嘔
员	員
呛	嗆
呜	嗚
周	週	周
呼	呼	虖	謼
咏	詠	咏
