㐷	傌
㐽	偑
㑇	㑳
㑈	倲
㑔	㑯
㑩	儸
㓥	劏
㔉	劚
㖊	噚
㖞	喎
㗷	㘔
㘎	㘚
㚯	㜄
㛀	媰
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㝍	写
㟆	㠏
㟜	𡾱
㟥	嵾
㡎	幓
㤘	㥰
㤽	懤
㥪	慺
㧏	掆
㧐	㩳
㧑	撝
㧛	掔
㧟	擓
㧠	擟
㧰	擽
㧱	拿
㨈	擠
㨫	㩜
㭎	棡
㭏	椲
㭣	𣙎
㭤	樢
㭴	樫
㰸	歛
㱩	殰
㱮	殨
㲿	瀇
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㴋	潚
㶉	鸂
㶶	燶
㶽	煱
㺍	獱
㻅	璯
㻏	𤫩
㻘	𤪺
䀥	䁻
䁖	瞜
䂵	碽
䃅	磾
䅉	稏
䅟	穇
䅪	𥢢
䇲	筴
䉤	籔
䌶	䊷
䌷	紬
䌸	縳
䌹	絅
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䎬	䎱
䏝	膞
䓓	薵
䓕	薳
䓖	𧅓
䓨	罃
䗖	螮
䘞	𧜗
䙊	𧜵
䙌	䙡
䙓	襬
䛓	譼
䜣	訢
䜤	鿁
䜥	𧩙
䜧	䜀
䜨	漶
䜩	讌
䝙	貙
䝲	贐
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䢀	𨊰
䢁	𨊸
䢂	𨋢
䥺	釾
䥽	鏺
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦃	鐯
䦅	鐥
䦆	钁
䦶	䦛
䦷	䦟
䩄	靦
䭪	𩞯
䯃	𩣑
䯄	騧
䯅	䯀
䲝	䱽
䲞	𩶘
䲟	鮣
䲠	鰆
䲡	鰌
䲢	鰧
䲣	䱷
䲤	鿐
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷉
䴙	鷿
䶮	龑
丑	醜
专	専
业	業
丛	叢
东	東
丝	糸
丢	丟
两	両
严	厳
並	併
丧	喪
个	箇
丬	爿
丰	豊
临	臨
为	為
丽	麗
举	挙
么	幺
义	義
乌	烏
乐	楽
乔	喬
乘	乗
习	習
乡	郷
书	書
买	買
亂	乱
于	於
亏	虧
云	雲
亘	亙
亙	亘
亚	亜
亞	亜
产	産
亩	畝
亲	親
亵	褻
亸	嚲
亿	億
仅	僅
仆	僕
从	従
仑	侖
仓	倉
仪	儀
们	們
价	価
仿	倣
众	衆
优	優
伛	傴
伞	傘
伟	偉
传	伝
伡	俥
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽
伫	佇
佔	占
佛	仏
你	ｲ
佡	尓
佢	佡
佣	佢
佤	傭
佥	僉
佦	僉
佧	佦
佩	佨
佪	佩
佫	佪
佬	佫
佮	佭
佯	佮
佰	佯
佱	佰
佲	佱
佳	佲
佴	佳
佶	併
佷	佶
佸	佷
佹	佸
佺	佹
佻	佺
佼	佻
佽	佼
佾	佽
侀	使
侁	侀
侂	侁
侃	侂
侄	侃
侅	姪
來	侅
侇	来
侈	侇
侉	侈
