㐀 0X3400 구
㐁 0X3401 첨
㐂 0X3402 칠
㐃 0X3403 마
㐄 0X3404 과
㐅 0X3405 오
㐆 0X3406 은
㐇 0X3407 굴
㐈 0X3408 둘
㐉 0X3409 절
㐊 0X340A 살
㐋 0X340B 톨
㐌 0X340C 이
㐍 0X340D 졸
㐎 0X340E 글
㐏 0X340F 올
㐐 0X3410 놀
㐑 0X3411 돌
㐒 0X3412 졸
㐓 0X3413 갈
㐔 0X3414 골
㐕 0X3415 율
㐖 0X3416 혈
㐗 0X3417 놀
㐘 0X3418 쌀
㐙 0X3419 둘
㐚 0X341A 올
㐛 0X341B 울
㐜 0X341C 구
㐝 0X341D 굴
㐞 0X341E 길
㐟 0X341F 길
㐠 0X3420 율
㐡 0X3421 유
㐢 0X3422 뜰
㐣 0X3423 골
㐤 0X3424 구
㐥 0X3425 설
㐦 0X3426 걸
㐧 0X3427 제
㐨 0X3428 서
㐩 0X3429 형
㐪 0X342A 천
㐫 0X342B 흉
㐬 0X342C 류
㐭 0X342D 름
㐮 0X342E 양
㐯 0X342F 용
㐰 0X3430 신
㐱 0X3431 진
㐲 0X3432 대
㐳 0X3433 올
㐴 0X3434 반
㐵 0X3435 유
㐶 0X3436 사
㐷 0X3437 마
㐸 0X3438 흠
㐹 0X3439 흘
㐺 0X343A 중
㐻 0X343B 내
㐼 0X343C 승
㐽 0X343D 풍
㐾 0X343E 원
㐿 0X343F 격
㑀 0X3440 태
㑁 0X3441 출
㑂 0X3442 방
㑃 0X3443 요
㑄 0X3444 모
㑅 0X3445 작
㑆 0X3446 이
㑇 0X3447 추
㑈 0X3448 동
㑉 0X3449 숙
㑊 0X344A 역
㑋 0X344B 궁
㑌 0X344C 왕
㑍 0X344D 뢰
㑎 0X344E 뇌
㑏 0X344F 저
㑐 0X3450 숙
㑑 0X3451 자
㑒 0X3452 첨
㑓 0X3453 준
㑔 0X3454 수
㑕 0X3455 세
㑖 0X3456 중
㑗 0X3457 신
㑘 0X3458 개
㑙 0X3459 접
㑚 0X345A 나
㑛 0X345B 속
㑜 0X345C 절
㑝 0X345D 롱
㑞 0X345E 잉
㑟 0X345F 팽
㑠 0X3460 견
㑡 0X3461 즉
㑢 0X3462 각
㑣 0X3463 람
㑤 0X3464 묘
㑥 0X3465 이
㑦 0X3466 려
㑧 0X3467 계
㑨 0X3468 오
㑩 0X3469 라
㑪 0X346A 제
㑫 0X346B 념
㑬 0X346C 고
㑭 0X346D 비
㑮 0X346E 혼
㑯 0X346F 수
㑰 0X3470 훼
㑱 0X3471 요
㑲 0X3472 남
㑳 0X3473 추
㑴 0X3474 침
㑵 0X3475 질
㑶 0X3476 희
㑷 0X3477 태
㑸 0X3478 요
㑹 0X3479 회
㑺 0X347A 준
㑻 0X347B 말
㑼 0X347C 략
㑽 0X347D 당
㑾 0X347E 요
㑿 0X347F 소
㒀 0X3480 적
㒁 0X3481 우
㒂 0X3482 착
㒃 0X3483 이
㒄 0X3484 연
㒅 0X3485 계
㒆 0X3486 흡
㒇 0X3487 무
㒈 0X3488 감
㒉 0X3489 창
㒊 0X348A 습
㒋 0X348B 시
㒌 0X348C 경
㒍 0X348D 루
㒎 0X348E 삽
㒏 0X348F 한
㒐 0X3490 순
㒑 0X3491 회
㒒 0X3492 복
㒓 0X3493 달
㒔 0X3494 독
㒕 0X3495 앙
㒖 0X3496 우
㒗 0X3497 대
㒘 0X3498 수
㒙 0X3499 면
㒚 0X349A 은
㒛 0X349B 조
㒜 0X349C 여
㒝 0X349D 멸
㒞 0X349E 준
㒟 0X349F 뇨
㒠 0X34A0 해
㒡 0X34A1 유
㒢 0X34A2 약
㒣 0X34A3 응
㒤 0X34A4 섭
㒥 0X34A5 풍
㒦 0X34A6 뢰
㒧 0X34A7 려
㒨 0X34A8 선
㒩 0X34A9 라
㒪 0X34AA 석
㒫 0X34AB 기
㒬 0X34AC 왕
㒭 0X34AD 곤
㒮 0X34AE 시
㒯 0X34AF 엽
㒰 0X34B0 전
㒱 0X34B1 몽
㒲 0X34B2 재
㒳 0X34B3 량
㒴 0X34B4 골
㒵 0X34B5 모
㒶 0X34B6 공
㒷 0X34B7 흥
㒸 0X34B8 수
㒹 0X34B9 전
㒺 0X34BA 망
㒻 0X34BB 모
㒼 0X34BC 만
㒽 0X34BD 권
㒾 0X34BE 시
㒿 0X34BF 리
㓀 0X34C0 복
㓁 0X34C1 명
㓂 0X34C2 구
㓃 0X34C3 타
㓄 0X34C4 침
㓅 0X34C5 정
㓆 0X34C6 륜
㓇 0X34C7 옥
㓈 0X34C8 빙
㓉 0X34C9 활
㓊 0X34CA 동
㓋 0X34CB 공
㓌 0X34CC 쟁
㓍 0X34CD 충
㓎 0X34CE 침
㓏 0X34CF 경
㓐 0X34D0 륙
㓑 0X34D1 행
㓒 0X34D2 칠
㓓 0X34D3 남
㓔 0X34D4 사
㓕 0X34D5 멸
㓖 0X34D6 필
㓗 0X34D7 결
㓘 0X34D8 숙
㓙 0X34D9 흉
㓚 0X34DA 공
㓛 0X34DB 공
㓜 0X34DC 유
㓝 0X34DD 형
㓞 0X34DE 갈
㓟 0X34DF 피
㓠 0X34E0 점
㓡 0X34E1 부
㓢 0X34E2 락
㓣 0X34E3 갑
㓤 0X34E4 갈
㓥 0X34E5 당
㓦 0X34E6 백
㓧 0X34E7 함
㓨 0X34E8 자
㓩 0X34E9 훤
㓪 0X34EA 랑
㓫 0X34EB 대
㓬 0X34EC 고
㓭 0X34ED 설
㓮 0X34EE 조
㓯 0X34EF 려
㓰 0X34F0 획
㓱 0X34F1 두
㓲 0X34F2 편
㓳 0X34F3 저
㓴 0X34F4 연
㓵 0X34F5 악
㓶 0X34F6 결
㓷 0X34F7 의
㓸 0X34F8 착
㓹 0X34F9 체
㓺 0X34FA 건
㓻 0X34FB 강
㓼 0X34FC 칠
㓽 0X34FD 숭
㓾 0X34FE 서
㓿 0X34FF 칠
㔀 0X3500 량
㔁 0X3501 등
㔂 0X3502 린
㔃 0X3503 절
㔄 0X3504 속
㔅 0X3505 소
㔆 0X3506 잠
㔇 0X3507 발
㔈 0X3508 비
㔉 0X3509 촉
㔊 0X350A 전
㔋 0X350B 감
㔌 0X350C 추
㔍 0X350D 촬
㔎 0X350E 설
㔏 0X350F 력
㔐 0X3510 첨
㔑 0X3511 칠
㔒 0X3512 휴
㔓 0X3513 건
㔔 0X3514 강
㔕 0X3515 글
㔖 0X3516 각
㔗 0X3517 비
㔘 0X3518 출
㔙 0X3519 병
㔚 0X351A 구
㔛 0X351B 할
㔜 0X351C 발
㔝 0X351D 량
㔞 0X351E 괴
㔟 0X351F 세
㔠 0X3520 할
㔡 0X3521 별
㔢 0X3522 절
㔣 0X3523 뢰
㔤 0X3524 심
㔥 0X3525 패
㔦 0X3526 양
㔧 0X3527 로
㔨 0X3528 배
㔩 0X3529 압
㔪 0X352A 로
㔫 0X352B 좌
㔬 0X352C 탁
㔭 0X352D 시
㔮 0X352E 나
㔯 0X352F 선
㔰 0X3530 항
㔱 0X3531 유
㔲 0X3532 궤
㔳 0X3533 궤
㔴 0X3534 익
㔵 0X3535 선
㔶 0X3536 감
㔷 0X3537 루
㔸 0X3538 체
㔹 0X3539 를
㔺 0X353A 세
㔻 0X353B 비
㔼 0X353C 순
㔽 0X353D 유
㔾 0X353E 절
㔿 0X353F 주
㕀 0X3540 주
㕁 0X3541 각
㕂 0X3542 음
㕃 0X3543 계
㕄 0X3544 지
㕅 0X3545 갑
㕆 0X3546 호
㕇 0X3547 랍
㕈 0X3548 의
㕉 0X3549 갑
㕊 0X354A 부
㕋 0X354B 금
㕌 0X354C 애
㕍 0X354D 퇴
㕎 0X354E 압
㕏 0X354F 주
㕐 0X3550 사
㕑 0X3551 주
㕒 0X3552 의
㕓 0X3553 전
㕔 0X3554 청
㕕 0X3555 환
㕖 0X3556 소
㕗 0X3557 유
㕘 0X3558 참
㕙 0X3559 준
㕚 0X355A 조
㕛 0X355B 우
㕜 0X355C 사
㕝 0X355D 고
㕞 0X355E 쇄
㕟 0X355F 괴
㕠 0X3560 쌍
㕡 0X3561 학
㕢 0X3562 개
㕣 0X3563 연
㕤 0X3564 구
㕥 0X3565 이
㕦 0X3566 화
㕧 0X3567 히
㕨 0X3568 범
㕩 0X3569 방
㕪 0X356A 담
㕫 0X356B 방
㕬 0X356C 공
㕭 0X356D 요
㕮 0X356E 부
㕯 0X356F 눌
㕰 0X3570 학
㕱 0X3571 우
㕲 0X3572 활
㕳 0X3573 흉
㕴 0X3574 침
㕵 0X3575 망
㕶 0X3576 은
㕷 0X3577 박
㕸 0X3578 립
㕹 0X3579 벌
㕺 0X357A 효
㕻 0X357B 투
㕼 0X357C 흉
㕽 0X357D 사
㕾 0X357E 솟
㕿 0X357F 향
㖀 0X3580 률
㖁 0X3581 린
㖂 0X3582 예
㖃 0X3583 후
㖄 0X3584 주
㖅 0X3585 술
㖆 0X3586 곡
㖇 0X3587 이
㖈 0X3588 놈
㖉 0X3589 기
㖊 0X358A 심
㖋 0X358B 갯
㖌 0X358C 굿
㖍 0X358D 둣
㖎 0X358E 갯
㖏 0X358F 녈
㖐 0X3590 위
㖑 0X3591 계
㖒 0X3592 제
㖓 0X3593 홍
㖔 0X3594 탄
㖕 0X3595 알
㖖 0X3596 알
㖗 0X3597 음
㖘 0X3598 진
㖙 0X3599 갓
㖚 0X359A 붓
㖛 0X359B 곳
㖜 0X359C 곳
㖝 0X359D 끗
㖞 0X359E 괘
㖟 0X359F 수
㖠 0X35A0 나
㖡 0X35A1 야
㖢 0X35A2 자
㖣 0X35A3 투
㖤 0X35A4 함
㖥 0X35A5 군
㖦 0X35A6 동
㖧 0X35A7 혼
㖨 0X35A8 록
㖩 0X35A9 추
㖪 0X35AA 획
㖫 0X35AB 릉
㖬 0X35AC 수
㖭 0X35AD 첨
㖮 0X35AE 륜
㖯 0X35AF 똥
㖰 0X35B0 똥
㖱 0X35B1 뱀
㖲 0X35B2 엿
㖳 0X35B3 엿
㖴 0X35B4 홀
㖵 0X35B5 구
㖶 0X35B6 열
㖷 0X35B7 시
㖸 0X35B8 갹
㖹 0X35B9 분
㖺 0X35BA 춘
㖻 0X35BB 뉴
㖼 0X35BC 모
㖽 0X35BD 책
㖾 0X35BE 악
㖿 0X35BF 사
㗀 0X35C0 유
㗁 0X35C1 악
㗂 0X35C2 생
㗃 0X35C3 문
㗄 0X35C4 만
㗅 0X35C5 호
㗆 0X35C6 객
㗇 0X35C7 하
㗈 0X35C8 만
㗉 0X35C9 략
㗊 0X35CA 집
㗋 0X35CB 후
㗌 0X35CC 질
㗍 0X35CD 재
㗎 0X35CE 가
㗏 0X35CF 왜
㗐 0X35D0 갑
㗑 0X35D1 배
㗒 0X35D2 애
㗓 0X35D3 추
㗔 0X35D4 건
㗕 0X35D5 구
㗖 0X35D6 담
㗗 0X35D7 패
㗘 0X35D8 박
㗙 0X35D9 추
㗚 0X35DA 률
㗛 0X35DB 소
㗜 0X35DC 후
㗝 0X35DD 고
㗞 0X35DE 파
㗟 0X35DF 줏
㗠 0X35E0 비
㗡 0X35E1 잇
㗢 0X35E2 동
㗣 0X35E3 제
㗤 0X35E4 축
㗥 0X35E5 곽
㗦 0X35E6 로
㗧 0X35E7 질
㗨 0X35E8 해
㗩 0X35E9 습
㗪 0X35EA 피
㗫 0X35EB 절
㗬 0X35EC 차
㗭 0X35ED 실
㗮 0X35EE 명
㗯 0X35EF 잣
㗰 0X35F0 종
㗱 0X35F1 집
㗲 0X35F2 획
㗳 0X35F3 탑
㗴 0X35F4 안
㗵 0X35F5 훌
㗶 0X35F6 발
㗷 0X35F7 새
㗸 0X35F8 위
㗹 0X35F9 초
㗺 0X35FA 비
㗻 0X35FB 과
㗼 0X35FC 업
㗽 0X35FD 향
㗾 0X35FE 화
㗿 0X35FF 하
㘀 0X3600 작
㘁 0X3601 역
㘂 0X3602 자
㘃 0X3603 야
㘄 0X3604 릉
㘅 0X3605 함
㘆 0X3606 대
㘇 0X3607 영
㘈 0X3608 의
㘉 0X3609 즐
㘊 0X360A 읍
㘋 0X360B 현
㘌 0X360C 극
㘍 0X360D 질
㘎 0X360E 함
㘏 0X360F 돗
㘐 0X3610 표
㘑 0X3611 례
㘒 0X3612 씻
㘓 0X3613 란
㘔 0X3614 새
㘕 0X3615 람
㘖 0X3616 안
㘗 0X3617 구
㘘 0X3618 비
㘙 0X3619 암
㘚 0X361A 함
㘛 0X361B 감
㘜 0X361C 수
㘝 0X361D 닙
㘞 0X361E 자
㘟 0X361F 창
㘠 0X3620 벽
㘡 0X3621 합
㘢 0X3622 옹
㘣 0X3623 선
㘤 0X3624 완
㘥 0X3625 와
㘦 0X3626 근
㘧 0X3627 서
㘨 0X3628 괴
㘩 0X3629 비
㘪 0X362A 모
㘫 0X362B 정
㘬 0X362C 불
㘭 0X362D 요
㘮 0X362E 척
㘯 0X362F 장
㘰 0X3630 짐
㘱 0X3631 담
㘲 0X3632 국
㘳 0X3633 구
㘴 0X3634 좌
㘵 0X3635 포
㘶 0X3636 걸
